"","logFC","logCPM","PValue","FDR"
"DHRSX",-2.76639611461984,4.51453630406989,2.21637692422746e-07,1.00261508555526e-06
"TMUB1",-2.76210250160618,4.30673666158547,2.2365760958899e-07,1.01144950727575e-06
"MINPP1",-2.3992565054407,4.54929183819933,2.23903552521059e-07,1.01193193242306e-06
"RNF144B",-2.80495656011334,5.47141556778529,2.23945992979098e-07,1.01193193242306e-06
"HTR2C",10.6169600663631,1.51671570749188,2.23965332328335e-07,1.01193193242306e-06
"GRAMD2",8.95981853150176,-0.0432066428533323,2.25694628046848e-07,1.0194402882164e-06
"STK38",-2.55839339816061,4.54043074593869,2.2653347980546e-07,1.02292330893016e-06
"MMP19",-6.55246923958578,-0.262001075651888,2.27457874608602e-07,1.02679040555751e-06
"AK054970",4.16908944153921,3.75207514075657,2.27836250889003e-07,1.02819109038373e-06
"DNAH7",4.09203572161762,3.35260967858218,2.30495319520508e-07,1.03988028824609e-06
"RAB8A",-2.33897172452046,5.6045611091727,2.30813397636205e-07,1.04100427249304e-06
"POF1B",-8.4249883719737,-0.680057871507346,2.31694142604768e-07,1.04466454264915e-06
"CD96",-5.18399001880438,0.417609632665189,2.32676375861133e-07,1.04878008223973e-06
"PACSIN3",-2.5108612997745,4.47268157534205,2.33193568073645e-07,1.05079763590333e-06
"TMEM86B",-3.23394917173547,3.29570407070507,2.38588977297365e-07,1.07478924737178e-06
"GDF11",2.88013014677571,3.33488207659945,2.40192911782806e-07,1.08169190811821e-06
"FGF2",2.57769749394599,4.48307986904388,2.41807106139758e-07,1.0883463379886e-06
"CTXN3",10.3259559674426,1.23565964396107,2.41814699599453e-07,1.0883463379886e-06
"RPS6KL1",4.32138776091876,3.96598160847736,2.44404428587634e-07,1.09967427642231e-06
"RAB11FIP5",2.54112163739899,5.34513429391427,2.44685846524586e-07,1.10061253575253e-06
"LEPROT",-2.23125319254298,6.13631537258798,2.45743883932126e-07,1.10504247986155e-06
"B3GNT3",-7.19257411008126,-0.388299034953671,2.46352737225358e-07,1.10745053054567e-06
