"","Gene","S7_avg","S12_avg","S13_avg","Class"
"SPOP","SPOP",51.4959642401365,44.8818317469569,53.2135967722034,"not_elevated"
"SPOPL","SPOPL",41.7714001327913,42.6606379139356,42.3834764288233,"not_elevated"
"SPP1","SPP1",270.954968651465,64.6349843231716,409.791356649329,"individual_elevated"
"SPP2","SPP2",30.7680287277548,16.4133991583666,18.0246579904716,"not_elevated"
"SPPL2A","SPPL2A",91.964449344374,91.0141865030691,90.3394042808537,"not_elevated"
"SPPL2B","SPPL2B",11.1789437636793,14.4699394147375,10.690396312459,"not_elevated"
"SPPL3","SPPL3",18.6270645205531,23.0413607142595,20.0823672861647,"not_elevated"
"SPR","SPR",28.9994751090833,24.4603701363492,22.0963947253869,"not_elevated"
"SPRED1","SPRED1",73.5933790270653,73.3951710828991,76.4334016784289,"not_elevated"
"SPRED2","SPRED2",20.9370523733982,27.9474858106287,20.684416662061,"not_elevated"
"SPRED3","SPRED3",1.21440719021421,1.89516019670123,0.497975451151192,"individual_elevated"
"SPRN","SPRN",2.55500212421972,5.12759139815596,2.02383725767467,"individual_elevated"
"SPRTN","SPRTN",11.8053163078665,11.3831280174733,13.1080961388546,"not_elevated"
"SPRY1","SPRY1",21.5715348633683,41.5124283249527,26.3679876582229,"not_elevated"
"SPRY2","SPRY2",21.7337433198859,29.0193699739456,29.8448655657381,"not_elevated"
"SPRY3","SPRY3",3.26037574071209,5.18755262278602,6.76891200151892,"not_elevated"
"SPRY4","SPRY4",12.2560721010307,20.7164434050547,16.4206225012867,"not_elevated"
"SPRYD3","SPRYD3",51.8846518568228,51.7040576083097,38.577015187664,"not_elevated"
"SPRYD4","SPRYD4",23.9340107011554,13.456227192797,16.6216848490775,"not_elevated"
"SPRYD7","SPRYD7",23.898309976294,15.8104113048453,17.548097295349,"not_elevated"
"SPSB1","SPSB1",9.59470186422267,8.74114885623777,9.97327705678962,"not_elevated"
"SPSB2","SPSB2",3.14666156085267,2.37350650772685,3.14389253753008,"not_elevated"
"SPSB3","SPSB3",27.5302665747205,31.1108725247517,26.083809355515,"not_elevated"
"SPTA1","SPTA1",0.291333557088751,0.22101397831425,2.31351639542536,"individual_specific"
"SPTAN1","SPTAN1",565.397954432836,716.090322154178,538.154540203869,"not_elevated"
"SPTB","SPTB",177.999470086574,262.501467894599,283.852379375797,"not_elevated"
"SPTBN1","SPTBN1",1533.9197812737,2113.35456064179,1586.82540346743,"not_elevated"
"SPTBN2","SPTBN2",107.891204464381,153.851765886189,110.891259359192,"not_elevated"
"SPTBN4","SPTBN4",14.7624692167883,23.9019099917971,16.9824679732734,"not_elevated"
"SPTBN5","SPTBN5",2.37788915926473,3.91023909184667,5.17994817441454,"not_elevated"
"SPTLC1","SPTLC1",46.9978639061085,41.295292494278,47.4206119441631,"not_elevated"
"SPTLC2","SPTLC2",89.0284735023372,82.9961376552429,85.3912102963972,"not_elevated"
"SPTLC3","SPTLC3",19.0013629235519,22.7376224882916,23.2490314084522,"not_elevated"
"SPTSSA","SPTSSA",22.8371309967282,22.8161765849898,33.5441999280824,"not_elevated"
"SPTSSB","SPTSSB",2.29617014204239,2.3694687072902,2.04091066996129,"not_elevated"
"SPTY2D1","SPTY2D1",37.8255811809742,36.1107298625819,37.5802535500649,"not_elevated"
"SQLE","SQLE",30.3635118259329,20.0059653182553,19.960901587769,"not_elevated"
"SQRDL","SQRDL",52.4903216405171,31.4744296670402,47.6776335054774,"not_elevated"
"SQSTM1","SQSTM1",322.399388374884,257.282240690376,334.936896876633,"not_elevated"
"SRA1","SRA1",18.5195184954923,15.2432541111504,19.1069240992172,"not_elevated"
"SRBD1","SRBD1",22.1733763897222,22.7292240848622,21.0720278375451,"not_elevated"
"SRC","SRC",15.8767134694228,19.8999237275998,17.2237783634118,"not_elevated"
"SRCAP","SRCAP",54.3828173962973,95.5522220566323,64.0606180687899,"not_elevated"
"SRCIN1","SRCIN1",19.6568000739568,25.5744555742293,19.3282802735429,"not_elevated"
"SRD5A1","SRD5A1",33.4671068929996,36.8769139992994,25.166086279884,"not_elevated"
"SRD5A2","SRD5A2",8.90529200769192,15.7985195343834,10.8085847154112,"not_elevated"
"SRD5A3","SRD5A3",9.18116542526509,8.62804491963935,9.35965223987325,"not_elevated"
"SREBF1","SREBF1",142.584630491976,75.3648304445238,47.6413108869922,"individual_elevated"
"SREBF2","SREBF2",78.5161848052957,102.914112251296,76.1508340660325,"not_elevated"
"SREK1","SREK1",44.1957323370019,52.3891225079898,51.5711770963814,"not_elevated"
"SREK1IP1","SREK1IP1",29.8152553328344,29.0486168734771,31.1056197342389,"not_elevated"
"SRF","SRF",31.1420594934694,47.1815853702742,34.4292907977241,"not_elevated"
"SRFBP1","SRFBP1",19.0505790486642,16.5968696028755,18.9508613593043,"not_elevated"
"SRGAP1","SRGAP1",11.9052618121119,14.4050625915445,12.7737055882381,"not_elevated"
"SRGAP2","SRGAP2",24.7318936235119,28.6177717356141,57.6105620620152,"individual_elevated"
"SRGAP2B","SRGAP2B",7.75882468546329,11.4464616677158,14.7340369246223,"not_elevated"
"SRGAP2C","SRGAP2C",19.8618435379661,22.6189811060577,37.9033459682738,"not_elevated"
"SRGAP2D","SRGAP2D",3.84845577910552,4.85841811335083,6.42452460730898,"not_elevated"
"SRGAP3","SRGAP3",32.0814674079714,48.5903848732422,35.1249189205301,"not_elevated"
"SRGN","SRGN",44.0162914132337,51.4047606392172,50.6696730766314,"not_elevated"
"SRI","SRI",59.1752847321777,42.6694445930446,47.1934739362172,"not_elevated"
"SRL","SRL",299.604698180874,317.69862309001,367.193271989198,"not_elevated"
"SRM","SRM",11.7774328485262,15.0381055684485,10.2597874263229,"not_elevated"
"SRP14","SRP14",68.3204716495887,58.0731121335643,60.2601428994671,"not_elevated"
"SRP19","SRP19",17.3986849042921,12.3248858643483,13.246584853279,"not_elevated"
"SRP54","SRP54",56.3065774631413,37.6919966614229,47.0056170546283,"not_elevated"
"SRP68","SRP68",46.8126520685584,48.1165987568831,39.8162973458063,"not_elevated"
"SRP72","SRP72",79.396919432285,62.8444558531316,68.564504586361,"not_elevated"
"SRP9","SRP9",243.727987009197,153.13754508788,209.219776887878,"not_elevated"
"SRPK1","SRPK1",43.1473447081637,32.9625983374793,39.9962680647775,"not_elevated"
"SRPK2","SRPK2",60.687720759782,59.6446941613094,49.0125404872826,"not_elevated"
"SRPK3","SRPK3",18.9953329287412,17.3274569716989,17.9962669585644,"not_elevated"
"SRPR","SRPR",128.986262964858,125.898705457493,115.355734983894,"not_elevated"
"SRPRB","SRPRB",46.3605314529825,40.4780303023329,34.7603344097926,"not_elevated"
"SRPX","SRPX",11.7067359135341,14.9341724915934,17.3003904650827,"not_elevated"
"SRPX2","SRPX2",4.25670244963637,15.3250129065272,7.47842034384465,"individual_elevated"
"SRR","SRR",9.52593438814391,6.39225202239187,6.78766164482319,"not_elevated"
"SRRD","SRRD",15.9837146651496,14.3207491793316,12.8065149426849,"not_elevated"
"SRRM1","SRRM1",34.9648093306012,44.7620285007642,36.6312829973755,"not_elevated"
"SRRM2","SRRM2",290.294479723123,583.521520577272,330.136860083971,"not_elevated"
"SRRM3","SRRM3",1.94080089672328,5.120549456976,6.63934654057589,"not_elevated"
"SRRM4","SRRM4",10.4559794747063,15.6655694777217,11.6864968061336,"not_elevated"
"SRRT","SRRT",25.9770720901669,30.1149083051695,26.2552367610414,"not_elevated"
"SRSF1","SRSF1",134.710030726272,142.531559628269,143.11540446487,"not_elevated"
"SRSF10","SRSF10",52.7547375983236,48.4820056504282,56.3419602982181,"not_elevated"
"SRSF11","SRSF11",63.4386881646553,85.2210179216789,77.5444970280394,"not_elevated"
"SRSF12","SRSF12",2.8789746133889,2.94105301531601,2.38362492314456,"not_elevated"
"SRSF2","SRSF2",61.6561001778482,71.9149900075195,61.368325634154,"not_elevated"
"SRSF3","SRSF3",123.374685494351,98.9575735380296,122.018146429775,"not_elevated"
"SRSF4","SRSF4",33.6631273200374,35.1446266775048,37.617320737807,"not_elevated"
"SRSF5","SRSF5",80.5771213208504,109.606527014711,94.4248724695502,"not_elevated"
"SRSF6","SRSF6",79.0845322406866,78.4698259333232,84.7095350936996,"not_elevated"
"SRSF7","SRSF7",49.9340741964081,45.2167756763465,51.9800668602199,"not_elevated"
"SRSF8","SRSF8",26.2404360099112,27.5724213207887,25.5134784072529,"not_elevated"
"SRSF9","SRSF9",29.0004228990668,25.6791527667761,26.0113496270679,"not_elevated"
"SRXN1","SRXN1",33.8237263651845,41.1355023307794,31.2727890536051,"not_elevated"
"SS18","SS18",54.785619854893,51.3441481141036,56.7338922093841,"not_elevated"
"SS18L1","SS18L1",33.1569936155829,31.4930316244681,29.3364038898643,"not_elevated"
"SS18L2","SS18L2",6.78778036016122,4.72349239602567,5.73504449074348,"not_elevated"
"SSB","SSB",54.2989313703477,42.4420560974538,47.272043382636,"not_elevated"
"SSBP1","SSBP1",38.5603984714024,23.8577020135779,29.6593378413521,"not_elevated"
"SSBP2","SSBP2",35.5502253330417,32.9801603978373,37.3850359495373,"not_elevated"
"SSBP3","SSBP3",23.7912638416931,28.1550083608338,19.5278572088286,"not_elevated"
"SSBP4","SSBP4",15.567141672214,19.1391570492118,12.1787782867665,"not_elevated"
"SSC5D","SSC5D",2.65412220100682,9.27592037434167,3.87058736511707,"individual_elevated"
"SSFA2","SSFA2",183.584495741543,189.990259451171,199.424414253361,"not_elevated"
"SSH1","SSH1",44.6330839915847,61.6350228610568,54.4820694887605,"not_elevated"
"SSH2","SSH2",109.959561477444,95.7472499038362,99.4092250074342,"not_elevated"
"SSH3","SSH3",8.87059387374185,10.1742338983525,9.56498524747365,"not_elevated"
"SSNA1","SSNA1",14.1045971027742,12.7431036079486,13.0657234317433,"not_elevated"
"SSPN","SSPN",123.689921672861,63.8418537466158,84.8184504503714,"not_elevated"
