"liver_S7"	"brain_S7"	"muscle_S7"	"heart_S7"	"kidney_S7"	"lung_S7"	"liver_S12"	"brain_S12"	"muscle_S12"	"heart_S12"	"kidney_S12"	"lung_S12"	"liver_S13"	"brain_S13"	"muscle_S13"	"heart_S13"	"kidney_S13"	"lung_S13"
"ACSM2B"	21411.73	0	46.82	6.55	9226.4	0	11970.07	0	0	0	143.61	1	11892.31	0	0	0	10475.07	1
"ACSM3"	7008	0	39	57	4300	241	1829	1	46	82	979	136	2870	0	79	56	3488	369
"ACSM4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACSM5"	16998	61	362	15	991	72	9810	106	129	5	48	33	6856	165	470	24	957	82
"ACSS1"	79	1235	857	3451	2635	1246	93	1884	1431	945	4691	921	176	1667	1031	2074	2403	1209
"ACSS2"	4677	1160	4874	3641	3400	2305	2915	997	3567	695	1215	1397	2296	1311	5893	1585	3869	2886
"ACSS3"	3028	496	402	736	2391	893	1478	436	392	255	1668	577	2190	453	378	395	2163	1079
"ACTA1"	0	21	393681	8923	0	27	10	19	465586	32448	0	53	0	40	392055	12650	0	5
"ACTA2"	599	170	1419	3424	1462	12067	678	276	2250	3995	4124	12824	4300	257	2366	4248	3199	3815
"ACTB"	22582	47432	7171	8810	37210	138878	15060	61854	6116	13765	43849	55011	41086	38820	9497	15757	39352	120878
"ACTBL2"	0	0	1	0	1	1	0	0	0	0	3	0	0	0	0	0	1	0
"ACTC1"	0	33	480	135131	11	17	11	66	145	23715	11	5	2	22	309	55323	11	7
